일자,금리
1995-05-31,14.81875
1995-06-30,14.581249999999999
1995-07-31,14.092
1995-08-31,13.126923076923077
1995-09-30,12.81875
1995-10-31,12.095999999999998
1995-11-30,11.923076923076923
1995-12-31,11.634
1996-01-31,11.944
1996-02-29,12.01304347826087
1996-03-31,11.915999999999999
1996-04-30,11.041666666666666
1996-05-31,11.014000000000001
1996-06-30,11.514583333333334
1996-07-31,11.849999999999998
1996-08-31,12.265384615384615
1996-09-30,12.186363636363637
1996-10-31,12.080769230769231
1996-11-30,12.116
1996-12-31,12.193999999999999
1997-01-31,12.174
1997-02-28,12.095454545454546
1997-03-31,12.324000000000002
1997-04-30,12.398
1997-05-31,12.4
1997-06-30,11.722916666666668
1997-07-31,11.650000000000002
1997-08-31,11.65
1997-09-30,11.65
1997-10-31,11.650000000000002
1997-11-30,12.4
1997-12-31,14.956
1998-01-31,15.0
1998-02-28,15.0
1998-03-31,15.09423076923077
1998-04-30,17.126923076923077
1998-05-31,16.858333333333334
1998-06-30,15.041666666666666
1998-07-31,12.555769230769231
1998-08-31,11.716
1998-09-30,11.846153846153847
1998-10-31,9.404166666666667
1998-11-30,8.338
1998-12-31,7.2288461538461535
1999-01-31,6.6655999999999995
1999-02-28,7.080952380952381
1999-03-31,6.811538461538461
1999-04-30,6.3716
1999-05-31,6.745652173913044
1999-06-30,6.883846153846154
1999-07-31,7.8876923076923084
1999-08-31,8.908846153846154
1999-09-30,9.333478260869565
1999-10-31,8.281538461538462
1999-11-30,8.463076923076922
1999-12-31,8.8496
2000-01-31,9.279583333333333
2000-02-29,8.98695652173913
2000-03-31,9.055
2000-04-30,8.950434782608696
2000-05-31,8.957083333333333
2000-06-30,8.6572
2000-07-31,8.0024
2000-08-31,7.850384615384616
2000-09-30,7.956521739130435
2000-10-31,7.837999999999999
2000-11-30,7.314615384615385
2000-12-31,6.7884
2001-01-31,6.002631578947368
2001-02-28,5.4165
2001-03-31,5.842380952380952
2001-04-30,6.583
2001-05-31,6.458636363636364
2001-06-30,6.047
2001-07-31,5.753333333333334
2001-08-31,5.157272727272727
2001-09-30,4.8895
2001-10-31,4.743
2001-11-30,5.3540909090909095
2001-12-31,5.9295
2002-01-31,6.08590909090909
2002-02-28,5.9141176470588235
2002-03-31,6.3115000000000006
2002-04-30,6.4714285714285715
2002-05-31,6.294545454545454
2002-06-30,5.923333333333334
2002-07-31,5.698571428571428
2002-08-31,5.37952380952381
2002-09-30,5.369
2002-10-31,5.390454545454546
2002-11-30,5.288571428571428
2002-12-31,5.282500000000001
2003-01-31,4.961904761904762
2003-02-28,4.731
2003-03-31,4.784761904761905
2003-04-30,4.595
2003-05-31,4.267368421052631
2003-06-30,4.068
2003-07-31,4.365909090909091
2003-08-31,4.617
2003-09-30,4.246842105263158
2003-10-31,4.277727272727272
2003-11-30,4.7700000000000005
2003-12-31,4.873636363636364
2004-01-31,4.884444444444444
2004-02-29,4.825
2004-03-31,4.583636363636364
2004-04-30,4.5424999999999995
2004-05-31,4.387894736842106
2004-06-30,4.280909090909091
2004-07-31,4.190909090909091
2004-08-31,3.8213636363636367
2004-09-30,3.5910526315789477
2004-10-31,3.5390476190476186
2004-11-30,3.4172727272727275
2004-12-31,3.2773913043478258
2005-01-31,3.6480952380952383
2005-02-28,4.187058823529411
2005-03-31,4.040909090909091
2005-04-30,3.8549999999999995
2005-05-31,3.7095238095238097
2005-06-30,3.79
2005-07-31,4.116190476190476
2005-08-31,4.334545454545455
2005-09-30,4.519523809523809
2005-10-31,4.8065
2005-11-30,5.095909090909091
2005-12-31,5.0622727272727275
2006-01-31,5.021428571428571
2006-02-28,4.8675
2006-03-31,4.925909090909091
2006-04-30,4.9515
2006-05-31,4.775
2006-06-30,4.892857142857143
2006-07-31,4.89
2006-08-31,4.7731818181818175
2006-09-30,4.688571428571429
2006-10-31,4.621052631578947
2006-11-30,4.724545454545455
2006-12-31,4.8185
2007-01-31,4.965454545454545
2007-02-28,4.907894736842105
2007-03-31,4.794285714285714
2007-04-30,4.939047619047619
2007-05-31,5.0980952380952385
2007-06-30,5.241
2007-07-31,5.345714285714286
2007-08-31,5.28
2007-09-30,5.391764705882353
2007-10-31,5.424090909090909
2007-11-30,5.540454545454545
2007-12-31,5.8852631578947365
2008-01-31,5.443181818181818
2008-02-29,5.059444444444444
2008-03-31,5.147142857142858
2008-04-30,4.984761904761905
2008-05-31,5.278421052631579
2008-06-30,5.702
2008-07-31,5.96304347826087
2008-08-31,5.7684999999999995
2008-09-30,5.81047619047619
2008-10-31,5.091818181818182
2008-11-30,4.973000000000001
2008-12-31,3.9704545454545452
2009-01-31,3.4357894736842107
2009-02-28,3.7825
2009-03-31,3.6850000000000005
2009-04-30,3.76
2009-05-31,3.8342105263157893
2009-06-30,4.094545454545455
2009-07-31,4.09304347826087
2009-08-31,4.417619047619048
2009-09-30,4.403636363636363
2009-10-31,4.4695238095238095
2009-11-30,4.32
2009-12-31,4.242727272727273
2010-01-31,4.285
2010-02-28,4.19
2010-03-31,3.9399999999999995
2010-04-30,3.772272727272727
2010-05-31,3.6978947368421053
2010-06-30,3.7495238095238093
2010-07-31,3.880909090909091
2010-08-31,3.725909090909091
2010-09-30,3.475263157894737
2010-10-31,3.2404761904761905
2010-11-30,3.4009090909090904
2010-12-31,3.244090909090909
2011-01-31,3.707142857142857
2011-02-28,3.94235294117647
2011-03-31,3.7390909090909092
2011-04-30,3.744761904761905
2011-05-31,3.655
2011-06-30,3.6533333333333333
2011-07-31,3.7704761904761908
2011-08-31,3.571818181818182
