발표일,시간,발표,예측,이전
1974년 11월 01일 (10월),18:00,51.1,,50.6
1974년 10월 01일 (9월),18:00,50.6,,50
1974년 09월 01일 (8월),18:00,50,,49.4
1974년 08월 01일 (7월),18:00,49.4,,49
1974년 07월 01일 (6월),18:00,49,,48.6
1974년 06월 01일 (5월),18:00,48.6,,48
1974년 05월 01일 (4월),18:00,48,,47.8
1974년 04월 01일 (3월),18:00,47.8,,47.2
1974년 03월 01일 (2월),18:00,47.2,,46.6
1974년 02월 01일 (1월),18:00,46.6,,46.2
1974년 01월 01일 (12월),18:00,46.2,,45.9
1973년 12월 01일 (11월),18:00,45.9,,45.6
1973년 11월 01일 (10월),18:00,45.6,,45.2
1973년 10월 01일 (9월),18:00,45.2,,45.1
1973년 09월 01일 (8월),18:00,45.1,,44.3
1973년 08월 01일 (7월),18:00,44.3,,44.2
1973년 07월 01일 (6월),18:00,44.2,,43.9
1973년 06월 01일 (5월),18:00,43.9,,43.6
1973년 05월 01일 (4월),18:00,43.6,,43.3
1973년 04월 01일 (3월),18:00,43.3,,42.9
1973년 03월 01일 (2월),18:00,42.9,,42.6
1973년 02월 01일 (1월),18:00,42.6,,42.5
1973년 01월 01일 (12월),18:00,42.5,,42.4
1972년 12월 01일 (11월),18:00,42.4,,42.3
1972년 11월 01일 (10월),18:00,42.3,,42.1
1972년 10월 01일 (9월),18:00,42.1,,42
1972년 09월 01일 (8월),18:00,42,,41.9
1972년 08월 01일 (7월),18:00,41.9,,41.7
1972년 07월 01일 (6월),18:00,41.7,,41.6
1972년 06월 01일 (5월),18:00,41.6,,41.5
1972년 05월 01일 (4월),18:00,41.5,,41.4
1972년 04월 01일 (3월),18:00,41.4,,41.3
1972년 03월 01일 (2월),18:00,41.3,,41.1
1972년 02월 01일 (1월),18:00,41.1,,41.1
1972년 01월 01일 (12월),18:00,41.1,,40.9
1971년 12월 01일 (11월),18:00,40.9,,40.9
1971년 11월 01일 (10월),18:00,40.9,,40.8
1971년 10월 01일 (9월),18:00,40.8,,40.8
1971년 09월 01일 (8월),18:00,40.8,,40.7
1971년 08월 01일 (7월),18:00,40.7,,40.6
1971년 07월 01일 (6월),18:00,40.6,,40.3
1971년 06월 01일 (5월),18:00,40.3,,40.1
1971년 05월 01일 (4월),18:00,40.1,,40
1971년 04월 01일 (3월),18:00,40,,39.9
1971년 03월 01일 (2월),18:00,39.9,,39.8
1971년 02월 01일 (1월),18:00,39.8,,39.8
1971년 01월 01일 (12월),18:00,39.8,,39.6
1970년 12월 01일 (11월),18:00,39.6,,39.4
1970년 11월 01일 (10월),18:00,39.4,,39.2
1970년 10월 01일 (9월),18:00,39.2,,39
1970년 09월 01일 (8월),18:00,39,,39
1970년 08월 01일 (7월),18:00,39,,38.8
1970년 07월 01일 (6월),18:00,38.8,,38.6
1970년 06월 01일 (5월),18:00,38.6,,38.5
1970년 05월 01일 (4월),18:00,38.5,,38.2
1970년 04월 01일 (3월),18:00,38.2,,38
1970년 03월 01일 (2월),18:00,38,,37.8
1970년 02월 01일 (1월),18:00,37.8,,37.7
1970년 01월 01일 (12월),18:00,37.7,,
