일자,종가지수,평균지수,한국금리,미국금리,3년 국채,동행지수,선행지수,한국GDP,GDP+금리,GDP+금리+선행지수,GDP+금리+선행지수(크게),금리,100,금리+선행지수,3년국채+선행지수,
200807,1594.67,1585.1,5,2,5.963043478,100.9,98.6,"1,127,318.04"," 563,659 "," 555,767.79 "," 484,746.76 ",0.5,0.86,43,0.403695652,34.71782609
200808,1474.24,1531.885,5,2,5.7685,100.8,98.5,"1,132,697.73"," 566,349 "," 557,853.63 "," 481,396.54 ",0.5,0.85,42.5,0.42315,35.96775
200809,1448.06,1435.355,5.25,2,5.81047619,100.7,98.3,"1,138,077.43"," 540,587 "," 531,396.80 "," 448,687.02 ",0.475,0.83,39.425,0.418952381,34.77304762
200810,1113.06,1175.42,5.25,1.5,5.091818182,100.4,97.9,"1,143,457.12"," 543,142 "," 531,736.15 "," 429,082.28 ",0.475,0.79,37.525,0.490818182,38.77463636
200811,1076.07,1065.92,4.25,1,4.973,99.6,97.4,"1,148,836.81"," 660,581 "," 643,406.05 "," 488,830.06 ",0.575,0.74,42.55,0.5027,37.1998
200812,1124.47,1099.07,4,1,3.970454545,98.4,97,"1,154,216.50"," 692,530 "," 671,754.00 "," 484,770.93 ",0.6,0.7,42,0.602954545,42.20681818
200901,1162.11,1157.14,3,0.25,3.435789474,97.7,96.7,"1,158,477.43"," 810,934 "," 784,173.37 "," 543,325.92 ",0.7,0.67,46.9,0.656421053,43.98021053
200902,1063.03,1132.2,2.5,0.25,3.7825,97.6,97.2,"1,162,738.37"," 872,054 "," 847,636.27 "," 627,878.72 ",0.75,0.72,54,0.62175,44.766
200903,1206.26,1124.695,2,0.25,3.685,97.6,97.7,"1,166,999.30"," 933,599 "," 912,126.65 "," 718,871.57 ",0.8,0.77,61.6,0.6315,48.6255
200904,1369.36,1289.765,2,0.25,3.76,97.8,98.9,"1,171,260.23"," 937,008 "," 926,701.10 "," 833,937.29 ",0.8,0.89,71.2,0.624,55.536
200905,1395.89,1376.065,2,0.25,3.834210526,97.8,99.5,"1,175,521.17"," 940,417 "," 935,714.85 "," 893,396.09 ",0.8,0.95,76,0.616578947,58.575
200906,1390.07,1394.035,2,0.25,4.094545455,98.4,100.4,"1,179,782.10"," 943,826 "," 947,600.98 "," 981,578.71 ",0.8,1.04,83.2,0.590545455,61.41672727
200907,1557.29,1468.335,2,0.25,4.093043478,98.6,100.6,"1,184,043.03"," 947,234 "," 952,917.83 "," 1,004,068.49 ",0.8,1.06,84.8,0.590695652,62.61373913
200908,1591.85,1573.47,2,0.25,4.417619048,98.7,100.8,"1,188,303.97"," 950,643 "," 958,248.32 "," 1,026,694.63 ",0.8,1.08,86.4,0.558238095,60.28971429
200909,1673.14,1653.14,2,0.25,4.403636364,98.8,101.1,"1,192,564.90"," 954,052 "," 964,546.49 "," 1,058,997.63 ",0.8,1.11,88.8,0.559636364,62.11963636
200910,1580.69,1624.71,2,0.25,4.46952381,99,101.7,"1,196,825.83"," 957,461 "," 973,737.50 "," 1,120,228.98 ",0.8,1.17,93.6,0.553047619,64.70657143
200911,1555.6,1574.905,2,0.25,4.32,99.1,102.3,"1,201,086.77"," 960,869 "," 982,969.41 "," 1,181,869.38 ",0.8,1.23,98.4,0.568,69.864
